Date,Open,High,Low,Close,Adj Close,Volume,SMA(open)5D,TMA 30D,SMA(high)5D,TMA 30D,SMA(low)5D,TMA 30D,SMA(close)5D,TMA 30D,SMA(adjclose)5D,TMA 30D,SMA(volume)5D,TMA 30D
2020-07-06,1805,1858,1792.099976,1851.800049,1845.862061,21697962,,,,,,,,,,,,
2020-07-07,1860,1864.349976,1806.300049,1823.449951,1817.602905,16239990,,,,,,,,,,,,
2020-07-08,1824.050049,1834.949951,1790,1798,1792.234497,12093186,,,,,,,,,,,,
2020-07-09,1809,1835,1786.25,1824.25,1818.400391,16807336,,,,,,,,,,,,
2020-07-10,1828.5,1884.599976,1824.25,1878.050049,1872.027832,20195218,,,,,,,,,,,,
2020-07-13,1903.349976,1947.699951,1900,1935,1928.795166,32124262,1825.31001,,1855.379981,,1799.780005,,1835.11001,,1829.225537,,17406738.4,
2020-07-14,1934,1941.699951,1887.300049,1917,1910.852905,31073305,1844.980005,,1873.319971,,1821.36001,,1851.75,,1845.812158,,19491998.4,
2020-07-15,1937.949951,1978.800049,1798,1844,1838.087036,64457578,1859.780005,,1888.789966,,1837.56001,,1870.46001,,1864.462158,,22458661.4,
2020-07-16,1847,1869,1812.449951,1843.400024,1837.489014,28133826,1882.559985,,1917.559985,,1839.16001,,1879.66001,,1873.632666,,32931539.8,
2020-07-17,1845,1920,1838,1911.699951,1905.569824,22948894,1890.159985,,1924.359985,,1844.4,,1883.490015,,1877.450391,,35196837.8,
2020-07-20,1917.800049,1932,1899.650024,1919.900024,1913.743652,16887635,1893.459985,,1931.43999,,1847.15,,1890.219995,,1884.158789,,35747573,
2020-07-21,1939,1977,1936.5,1971.550049,1965.228027,19463004,1896.35,,1928.3,,1847.080005,,1887.2,,1881.148486,,32700247.6,
2020-07-22,1983,2010,1960.699951,2004,1997.573975,27584518,1897.35,,1935.36001,,1856.919995,,1898.11001,,1892.023511,,30378187.4,
2020-07-23,2003.949951,2079.699951,1991.349976,2057.800049,2051.201416,26921017,1906.36001,,1941.6,,1889.459985,,1930.11001,,1923.920898,,23003575.4,
2020-07-24,2058,2163,2057.800049,2146.149902,2139.268066,55655668,1937.75,,1983.73999,,1925.23999,,1972.990015,,1966.663379,,22761013.6,
2020-07-27,2178.800049,2198.800049,2127.899902,2156.199951,2149.285889,37060665,1980.35,,2032.33999,,1969.2,,2019.880005,,2013.403027,,29302368.4,
2020-07-28,2156.199951,2194,2150.649902,2177.699951,2170.716797,25435297,2032.55,,2085.7,,2014.849976,,2067.13999,,2060.511475,,33336974.4,
2020-07-29,2177.899902,2182.800049,2070.449951,2096.649902,2089.926758,33534147,2075.98999,,2129.1,,2057.679956,,2108.369971,,2101.609229,,34531433,
2020-07-30,2099,2139.699951,2072,2108.850098,2102.087891,33623699,2114.969971,,2163.66001,,2079.629956,,2126.899951,,2120.079785,,35721358.8,
2020-07-31,2114.5,2129,2052.800049,2067.100098,2060.47168,34593133,2133.97998,,2175.66001,,2095.759961,,2137.109961,,2130.25708,,37061895.2,
2020-08-03,2051.300049,2057,2003.099976,2009,2002.557861,21559142,2145.27998,,2168.86001,,2094.759961,,2121.3,,2114.497803,,32849388.2,
2020-08-04,2020.599976,2167,2000.25,2150.600098,2143.703857,42476932,2119.77998,,2140.5,,2069.799976,,2091.86001,,2085.152197,,29749083.6,
2020-08-05,2169,2196,2118.300049,2126.449951,2119.631348,34404810,2092.659985,,2135.1,,2039.719995,,2086.440039,,2079.749609,,33157410.6,
2020-08-06,2157,2167.699951,2107.800049,2134.100098,2127.256836,22762545,2090.880005,,2137.73999,,2049.290015,,2092.400049,,2085.690527,,33331543.2,
2020-08-07,2129.800049,2157.800049,2120.199951,2146.449951,2139.567139,15222303,2102.480005,,2143.33999,,2056.450025,,2097.450049,,2090.724316,,31159312.4,
